"Table 2.1b: Annual Mean Concentrations of PM2.5 in the UK at urban background monitoring sites, 2009 to 2024",,,,,
[z] is shorthand for 'Not Applicable',,,,,
Year,Site,Annual Mean PM2.5 concentration (µg/m3)[note 1],95% confidence interval for 'All sites' (+/-)[note 3],Data capture (%),Measurement Frequency[note 4]
2023,Bristol St Paul's,8.24112843355605,[z],76.8835616438356,Hourly
2024,Bristol St Paul's,7.10416666666667,[z],93.9890710382514,Hourly
2022,Burton-on-Trent Horninglow,6.78765737593474,[z],50.3767123287671,Hourly
2023,Burton-on-Trent Horninglow,7.15248113534095,[z],98.9383561643835,Hourly
2024,Burton-on-Trent Horninglow,7.16870160647146,[z],99.9203096539162,Hourly
2022,Canterbury,7.2276801260587,[z],57.9566210045662,Hourly
2023,Canterbury,8.61969769397069,[z],95.0456621004566,Hourly
2024,Canterbury,7.7720336695747,[z],83.5154826958106,Hourly
2009,Cardiff Centre,12.5318520269472,[z],96.5867579908676,Hourly
2010,Cardiff Centre,13.8003500269251,[z],84.7945205479452,Hourly
2011,Cardiff Centre,13.245810914681,[z],74.2579908675799,Hourly
2012,Cardiff Centre,12.3147493573265,[z],70.856102003643,Hourly
2013,Cardiff Centre,13.51017808558,[z],92.3059360730594,Hourly
2014,Cardiff Centre,11.6486976083353,[z],96.4155251141553,Hourly
2015,Cardiff Centre,9.55910006715917,[z],84.9885844748858,Hourly
2016,Cardiff Centre,9.66219835907336,[z],94.3533697632058,Hourly
2017,Cardiff Centre,9.08364394310937,[z],93.1050228310502,Hourly
2018,Cardiff Centre,10.1557786991449,[z],88.1050228310502,Hourly
2019,Cardiff Centre,11.7942383160899,[z],63.9954337899543,Hourly
2020,Cardiff Centre,7.44739522130826,[z],87.1926229508197,Hourly
2021,Cardiff Centre,8.54113848361636,[z],95.4566210045662,Hourly
2022,Cardiff Centre,10.5499586923168,[z],96.7237442922374,Hourly
2023,Cardiff Centre,9.7274182483421,[z],49.9200913242009,Hourly
2024,Cardiff Centre,8.03567996155694,[z],94.7632058287796,Hourly
2009,Chesterfield,13.6465253094742,[z],93.1392694063927,Hourly
2010,Chesterfield,13.059649122807,[z],94.3493150684932,Hourly
2011,Chesterfield,14.1186420629288,[z],96.5068493150685,Hourly
2012,Chesterfield,12.4590835713399,[z],91.6780510018215,Hourly
2013,Chesterfield,11.7151495126384,[z],69.0981735159817,Hourly
2014,Chesterfield,13.8833172922682,[z],35.5821917808219,Hourly
2015,Chesterfield Loundsley Green,7.77912544519193,[z],57.6940639269406,Hourly
2016,Chesterfield Loundsley Green,10.2145764374157,[z],92.8620218579235,Hourly
2017,Chesterfield Loundsley Green,8.71187257552604,[z],97.1118721461187,Hourly
2018,Chesterfield Loundsley Green,9.58675870348139,[z],95.0913242009132,Hourly
2019,Chesterfield Loundsley Green,8.36643621292579,[z],88.1392694063927,Hourly
